Certificate,Runtime,Genre,Description,Directors,Stars,Rating
R,155.0,"Action,Adventure,Drama","
    A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.",Ridley Scott," Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed",8.5
R,113.0,"Mystery,Thriller","
    A man with short-term memory loss attempts to track down his wife's murderer.",Christopher Nolan," Guy Pearce, Carrie-Anne Moss, Joe Pantoliano, Mark Boone Junior",8.4
R,102.0,"Comedy,Crime","
    Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",Guy Ritchie," Jason Statham, Brad Pitt, Benicio Del Toro, Dennis Farina",8.3
R,102.0,Drama,"
    The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.",Darren Aronofsky," Ellen Burstyn, Jared Leto, Jennifer Connelly, Marlon Wayans",8.3
PG-13,104.0,"Action,Adventure,Sci-Fi","
    In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men.",Bryan Singer," Patrick Stewart, Hugh Jackman, Ian McKellen, Famke Janssen",7.4
PG-13,143.0,"Adventure,Drama,Romance","
    A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.",Robert Zemeckis," Tom Hanks, Helen Hunt, Paul Sanchez, Lari White",7.8
R,101.0,"Comedy,Crime,Drama","
    A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",Mary Harron," Christian Bale, Justin Theroux, Josh Lucas, Bill Sage",7.6
PG-13,106.0,"Drama,Mystery,Sci-Fi","
    A man learns something extraordinary about himself after a devastating accident.",M. Night Shyamalan," Bruce Willis, Samuel L. Jackson, Robin Wright, Spencer Treat Clark",7.3
PG-13,123.0,"Action,Adventure,Thriller","
    IMF agent Ethan Hunt is sent to Sydney to find and destroy a genetically modified disease called ""Chimera"".",John Woo," Tom Cruise, Dougray Scott, Thandie Newton, Ving Rhames",6.1
PG-13,108.0,"Comedy,Romance","
    Male nurse Greg Focker meets his girlfriend's parents before proposing, but her suspicious father is every date's worst nightmare.",Jay Roach," Ben Stiller, Robert De Niro, Teri Polo, Blythe Danner",7.0
PG-13,107.0,"Adventure,Comedy,Crime","
    In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them.","Joel Coen, Ethan Coen"," George Clooney, John Turturro, Tim Blake Nelson, John Goodman",7.7
PG-13,118.0,"Action,Crime,Thriller","
    A retired master car thief must come back to the industry and steal fifty cars with his crew in one night to save his brother's life.",Dominic Sena," Nicolas Cage, Angelina Jolie, Giovanni Ribisi, T.J. Cross",6.5
PG-13,120.0,"Action,Adventure,Fantasy","
    A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.",Ang Lee," Yun-Fat Chow, Michelle Yeoh, Ziyi Zhang, Chen Chang",7.8
R,165.0,"Action,Drama,History","
    Peaceful farmer Benjamin Martin is driven to lead the Colonial Militia during the American Revolution when a sadistic British officer murders his son.",Roland Emmerich," Mel Gibson, Heath Ledger, Joely Richardson, Jason Isaacs",7.2
R,122.0,"Adventure,Comedy,Drama","
    A high-school boy is given the chance to write a story for Rolling Stone Magazine about an up-and-coming rock band as he accompanies them on their concert tour.",Cameron Crowe," Billy Crudup, Patrick Fugit, Kate Hudson, Frances McDormand",7.9
R,88.0,Comedy,"
    A year after disposing of the body of a man they accidentally killed, a group of dumb teenagers are stalked by a bumbling serial killer.",Keenen Ivory Wayans," Anna Faris, Jon Abrahams, Marlon Wayans, Carmen Electra",6.2
R,98.0,"Horror,Thriller","
    After a teenager has a terrifying vision of him and his friends dying in a plane crash, he prevents the accident only to have Death hunt them down, one by one.",James Wong," Devon Sawa, Ali Larter, Kerr Smith, Kristen Cloke",6.7
R,109.0,"Horror,Sci-Fi","
    A commercial transport ship and its crew are marooned on a planet full of bloodthirsty creatures that only come out to feast at night. But then, they learn that a month-long eclipse is about to occur.",David Twohy," Radha Mitchell, Cole Hauser, Vin Diesel, Keith David",7.1
R,116.0,Comedy,"
    A nice-guy cop with Dissociative Identity Disorder must protect a woman on the run from a corrupt ex-boyfriend and his associates.","Bobby Farrelly, Peter Farrelly"," Jim Carrey, Renée Zellweger, Anthony Anderson, Mongo Brownlee",6.6
R,119.0,"Adventure,Drama,Romance","
    Vicenarian Richard travels to Thailand and finds himself in possession of a strange map. Rumours state that it leads to a solitary beach paradise, a tropical bliss. Excited and intrigued, he sets out to find it.",Danny Boyle," Leonardo DiCaprio, Daniel York, Patcharawan Patarakijjanon, Virginie Ledoyen",6.7
PG,104.0,"Comedy,Family,Fantasy","
    On the outskirts of Whoville lives a green, revenge-seeking Grinch who plans to ruin Christmas for all of the citizens of the town.",Ron Howard," Jim Carrey, Taylor Momsen, Kelley, Jeffrey Tambor",6.2
PG,113.0,"Biography,Drama,Sport","
    The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.",Boaz Yakin," Denzel Washington, Will Patton, Wood Harris, Ryan Hurst",7.8
R,147.0,"Crime,Drama,Thriller","
    A conservative judge is appointed by the President to spearhead America's escalating war against drugs, only to discover that his teenage daughter is a crack addict. Two DEA agents protect an informant. A jailed drug baron's wife attempts to carry on the family business.",Steven Soderbergh," Michael Douglas, Benicio Del Toro, Catherine Zeta-Jones, Jacob Vargas",7.6
PG-13,127.0,"Comedy,Fantasy,Romance","
    After an accident, a chauvinistic executive gains the ability to hear what women are really thinking.",Nancy Meyers," Mel Gibson, Helen Hunt, Marisa Tomei, Alan Alda",6.4
PG-13,109.0,"Action,Comedy,Crime","
    An F.B.I. Agent must go undercover in the Miss United States beauty pageant to prevent a group from bombing the event.",Donald Petrie," Sandra Bullock, Michael Caine, Benjamin Bratt, Candice Bergen",6.2
