,Unnamed: 0,Certificate,Runtime,Genre,Description,Directors,Stars,Rating
0,0,PG-13,149,"Action,Adventure,Sci-Fi","
    The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.","Anthony Russo, Joe Russo"," Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans",8.5
1,1,PG-13,134,"Action,Adventure,Sci-Fi","
    T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",Ryan Coogler," Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira",7.3
2,2,R,119,"Action,Adventure,Comedy","
    Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool), brings together a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable.",David Leitch," Ryan Reynolds, Josh Brolin, Morena Baccarin, Julian Dennison",7.7
3,3,PG-13,134,"Biography,Drama,Music","
    The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).",Bryan Singer," Rami Malek, Lucy Boynton, Gwilym Lee, Ben Hardy",8.0
4,4,PG-13,90,"Drama,Horror,Sci-Fi","
    In a post-apocalyptic world, a family is forced to live in silence while hiding from monsters with ultra-sensitive hearing.",John Krasinski," Emily Blunt, John Krasinski, Millicent Simmonds, Noah Jupe",7.5
5,5,PG-13,140,"Action,Adventure,Sci-Fi","
    When the creator of a virtual reality called the OASIS dies, he makes a posthumous challenge to all OASIS users to find his Easter Egg, which will give the finder his fortune and control of his world.",Steven Spielberg," Tye Sheridan, Olivia Cooke, Ben Mendelsohn, Lena Waithe",7.5
6,6,PG-13,143,"Action,Adventure,Fantasy","
    Arthur Curry (Jason Momoa), the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land.",James Wan," Jason Momoa, Amber Heard, Willem Dafoe, Patrick Wilson",7.0
7,7,PG-13,112,"Action,Adventure,Sci-Fi","
    A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it.",Ruben Fleischer," Tom Hardy, Michelle Williams, Riz Ahmed, Scott Haze",6.7
8,8,PG-13,130,"Biography,Comedy,Drama","
    A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.",Peter Farrelly," Viggo Mortensen, Mahershala Ali, Linda Cardellini, Sebastian Maniscalco",8.2
9,9,PG,117,"Animation,Action,Adventure","
    Teen Miles Morales becomes Spider-Man of his reality, crossing his path with five counterparts from other dimensions to stop a threat for all realities.","Bob Persichetti, Peter Ramsey, Rodney Rothman"," Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali",8.4
10,10,R,136,"Drama,Music,Romance","
    A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.",Bradley Cooper," Lady Gaga, Bradley Cooper, Sam Elliott, Greg Grunberg",7.7
